"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2022 12:07:06 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","MarketplaceFacilitator","8.99","0","0","0","0","0","0","0","0","0","0","-10.80","-2.47","0","0","-4.28"
"Sep 1, 2022 12:07:06 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","8","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","","71.92","0","0","0","0","0","0","0","0","0","0","0","-19.74","0","0","52.18"
"Sep 1, 2022 12:07:06 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","","8.99","0","0","0","0","0","0","0","0","0","0","0","-2.47","0","0","6.52"
"Sep 1, 2022 12:09:31 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","MarketplaceFacilitator","8.99","0","0","0","0","0","0","0","0","0","0","-1.08","-2.47","0","0","5.44"
"Sep 1, 2022 12:12:50 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","MarketplaceFacilitator","8.99","0","0","0","0","0","0","0","0","0","0","-4.32","-2.47","0","0","2.20"
"Sep 1, 2022 12:12:50 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","","8.99","0","0","0","0","0","0","0","0","0","0","0","-2.47","0","0","6.52"
"Sep 1, 2022 12:12:50 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","","8.99","0","0","0","0","0","0","0","0","0","0","0","-2.47","0","0","6.52"
"Sep 1, 2022 12:12:50 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","","8.99","0","0","0","0","0","0","0","0","0","0","0","-2.47","0","0","6.52"
"Sep 1, 2022 12:15:26 AM PDT","16143476531","Order","114-2513928-3253054","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031-8102","MarketplaceFacilitator","8.99","0","0","0","0","0","0","0","0","0","0","-1.08","-2.47","0","0","5.44"
"Sep 1, 2022 12:26:02 AM PDT","16436304521","Order","113-1074743-6680233","T61-YM-3140AER-1-PR","Stick-on Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Cars, Trailer, Motorcycle, Trucks, Boa","1","amazon.com","Standard Orders","Amazon","OMRO","WI","54963-9453","MarketplaceFacilitator","9.99","0.50","0","0","0","0","0","0","0","0","-0.50","-1.20","-2.47","0","0","6.32"
"Sep 1, 2022 12:51:58 AM PDT","16436304521","Order","111-6727181-6597063","CN047-006-03","BAR AUTOTECH Japanese Lucky Cat Cute Mini Coin Purse Change Bag Credit cards Holder Wallet Bag for Girl, Boy, Children (Yellow)","1","amazon.com","Standard Orders","Amazon","AUSTIN","TX","78751-4706","MarketplaceFacilitator","12.99","1.07","0","0","0","0","0","0","0","0","-1.07","-1.95","-3.07","0","0","7.97"
"Sep 1, 2022 1:57:22 AM PDT","16436304521","Order","112-0017150-6573054","CN038-120-BKR","BAR Autotech Remote Key Silicone Rubber Keyless Entry Shell Case Fob and Key Skin Cover 3 Buttons fit for Silverado Tahoe Saturn Vue Sierra 1500 2500","1","amazon.com","Standard Orders","Amazon","FAIRBANKS","AK","99709-5009","MarketplaceFacilitator","7.99","0","1.89","0","0","0","0","0","-1.89","0","0","-0.96","-3.07","0","0","3.96"
"Sep 1, 2022 4:29:45 AM PDT","16436304521","Order","114-1488956-2119414","T61-YM-3132ER-1-PR","Stick-on Hexagonal Reflectors - Front Fork Side Reflector for Motocross, Harley, Semi Trucks & Trailers, Warehousing, Boats, Service Trucks, Service V","1","amazon.com","Standard Orders","Amazon","PEARL CITY","HI","96782-2027","MarketplaceFacilitator","9.99","0.47","0","0","0","0","0","0","0","0","-0.47","-1.20","-2.66","0","0","6.13"
"Sep 1, 2022 5:11:46 AM PDT","16436304521","Refund","112-2630736-1386632","CN047-001-26","BAR AUTOTECH Cotton Japanese Pattern Wrist Bag Sleeve Knot Pouch Portable Purse Canvas Tote Gift for Girl, Boy, Wife, women (Green feathers)","1","amazon.com","Standard Orders","Amazon","LOS ANGELES","CA","90031-2705","MarketplaceFacilitator","-18.49","-1.76","0","0","0","0","0","0","0","0","1.76","2.22","0","0","0","-16.27"
"Sep 1, 2022 6:29:41 AM PDT","16436304521","Order","112-1036682-6173010","BB00264","BAR AUTOTECH Cotton Japanese Pattern Wrist Bag Sleeve Knot Pouch Portable Purse Canvas Tote Gift for Girl, Boy, Wife, women (New mimosa pudica)","1","amazon.com","Standard Orders","Amazon","ODESSA","FL","33556-2767","MarketplaceFacilitator","19.49","1.36","0","0","0","0","0","0","0","0","-1.36","-2.92","-3.96","0","0","12.61"
